,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
20,AIOZ-USD,2.710205549467509,2021-12-31,2024-08-06,949,100.0,371.0205549467509,271.0205549467509,-3.3212053082331328,100.0,0.0,61.24263273964986,134.0,1,0,1,271.0205549467509,,,,,,,,,,,,,
335,JASMY-USD,2.67843840579242,2021-12-31,2024-08-06,949,100.0,367.843840579242,267.843840579242,-75.63526938995683,100.0,0.0,53.166327624457175,83.0,1,0,1,267.843840579242,,,,,,,,,,,,,
236,FLOKI-USD,2.3429313316354374,2021-12-31,2024-08-06,943,100.0,334.29313316354376,234.29313316354376,8.419397204657031,100.0,0.0,65.62499886314353,85.0,1,0,1,234.29313316354376,,,,,,,,,,,,,
482,OM-USD,2.3089143670911536,2021-12-31,2024-08-06,949,100.0,330.89143670911534,230.89143670911537,580.1733605158664,100.0,0.0,36.51763868905504,58.0,1,0,1,230.89143670911534,,,,,,,,,,,,,
597,SKEY-USD,1.790904354787362,2021-12-31,2024-08-06,949,100.0,279.0904354787362,179.0904354787362,-58.937860663665276,100.0,0.0,76.8058188570245,130.0,1,0,1,179.0904354787362,,,,,,,,,,,,,
721,WEST-USD,1.5177713810470246,2021-12-31,2024-08-06,949,100.0,251.77713810470246,151.77713810470246,-83.46623270760745,100.0,0.0,68.15912199184136,64.0,1,0,1,151.77713810470246,,,,,,,,,,,,,
511,PEOPLE-USD,1.2932452123886322,2021-12-31,2024-08-06,949,100.0,229.3245212388632,129.3245212388632,-56.53396897386583,100.0,0.0,65.54555264444184,78.0,1,0,1,129.3245212388632,,,,,,,,,,,,,
44,AR-USD,1.2238604000466327,2021-12-31,2024-08-06,949,100.0,222.38604000466327,122.38604000466327,-69.15899301911338,100.0,0.0,59.49328301252842,79.0,1,0,1,122.38604000466327,,,,,,,,,,,,,
141,CREDI-USD,1.2101071913145212,2021-12-31,2024-08-06,949,100.0,221.0107191314521,121.01071913145212,-57.89318035488825,100.0,0.0,70.20255197295405,122.0,1,0,1,121.0107191314521,,,,,,,,,,,,,
510,PENDLE-USD,1.1880338673849775,2021-12-31,2024-08-06,949,100.0,218.80338673849775,118.80338673849775,905.4206321834146,100.0,0.0,68.52222423463633,118.0,1,0,1,118.80338673849775,,,,,,,,,,,,,
260,GFT-USD,1.1677157891442655,2022-04-07,2024-08-06,852,100.0,216.77157891442656,116.77157891442656,-98.2446133136977,100.0,0.0,47.221773361077794,125.0,1,0,1,116.77157891442656,,,,,,,,,,,,,
784,ZPAY-USD,1.0707185307151934,2021-12-31,2024-08-06,949,100.0,207.07185307151934,107.07185307151934,-85.11415146426795,100.0,0.0,78.01524124458147,147.0,1,0,1,107.07185307151934,,,,,,,,,,,,,
131,CKB-USD,0.9848785297298517,2021-12-31,2024-08-06,949,100.0,198.48785297298517,98.48785297298517,-66.94159555744243,100.0,0.0,78.73157456844591,118.0,1,0,1,98.48785297298517,,,,,,,,,,,,,
